,artists_name,track_name,popularity,duration
0,Måneskin,ZITTI E BUONI,52,192654
1,Go_A,SHUM,0,172675
2,Barbara Pravi,Voilà,62,176815
3,Gjon's Tears,Tout l'univers,0,183706
4,Daði Freyr,10 Years,0,166000
5,Destiny,Je me casse - Eurovision Official Entry,13,178500
6,THE ROOP,Discoteque,40,180521
7,Manizha,RUSSIAN WOMAN,38,176877
8,Stefania,Last Dance,36,180000
9,The Black Mamba,Love Is On My Side,25,175960
10,Natalia Gordienko,Sugar,34,178500
11,Eden Alene,Set Me Free,36,179439
12,Efendi,Mata Hari,44,160980
13,Senhit,Adrenalina,35,179786
14,Montaigne,Technicolour,31,169273
15,Fyr Og Flamme,Øve Os På Hinanden,31,186750
16,TIX,Fallen Angel,40,173786
17,Tusse,Voices,44,184000
18,James Newman,Embers,0,175914
19,Elena Tsagrinou,El Diablo,20,181546
20,Albina,Tick-Tock,31,180000
21,Lesley Roy,Maps,30,172122
22,Roxen,Amnesia,33,174125
23,Eden Alene,Set Me Free,0,174142
24,Rafał Brzozowski,The Ride,26,180813
25,Samanta Tina,The Moon Is Rising - Original,25,180000
26,Benny Cristo,Omaga,25,179754
27,Uku Suviste,The lucky one,24,182727
28,Hooverphonic,The Wrong Place,35,176506
29,VICTORIA,growing up is getting old - Eurovision Version,27,188170
30,Vasil Garvanliev,Here I Stand,15,180500
31,Vincent Bueno,Amen,20,175555
32,Jeangu Macrooy,Birth Of A New Age,27,173375
33,Blas Cantó,Voy a quedarme,29,182807
34,Tornike Kipiani,You,17,183640
35,Hurricane,Loco Loco,0,175375
36,Anxhela Peristeri,Karma,0,180000
37,Anxhela Peristeri,Karma,0,179200
38,Jendrik,I Don't Feel Hate,0,176996
39,Ana Soklič,Amen,19,184704
40,Blind Channel,Dark Side,0,177789
41,Marco Dalla Villa,Maps - Marco Dalla Villa Remix,13,179566
42,Daði Freyr,10 Years - Chromeo Remix,0,163320
43,THE ROOP,Discoteque - Deepend Remix,16,153030
44,Go_A,SHUM - Dj NANA Remix,0,152741
45,Albina,Tick-Tock - Stefy De Cicco Remix,12,161250
46,Jeangu Macrooy,Birth Of A New Age - Mason Remix,9,217443
47,Hooverphonic,The Wrong Place - Hairglow French Crop Mix,14,208520
48,Elena Tsagrinou,El Diablo - Joytide & Maarlind Remix,17,171147
49,Gjon's Tears,Tout l'univers - Tiery F Remix,0,191040
50,Senhit,Adrenalina - Steve Aoki Remix,21,190000
51,Ana Soklič,Amen (Summer Vibes Remix),8,268500
52,Scott Elk Artwork,Movement IV - Dawn + Stardust,6,216013
